sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.726598300039768,12.726598300039768,f,3.339924900326878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.132136999629438,16.132136999629438,space,30.853617799934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['blue_bottom_T_45', 'red_bottom_P_0', 'red_left_B_45', 'red_bottom_Q_45']","{'color': 'blue_bottom_T_45', 'position': 'red_left_B_45', 'orientation': 'red_bottom_P_0'}",color,['color'],blue_bottom_T_45,0,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,47.05964679969475,47.05964679969475,space,4.358528300188482,51.43490089988336,52.43689320003614,52.43689320003614,56.2778520998545,62.9409394999966,65.161962099839,65.161962099839,65.161962099839,65.161962099839,1,0.7278873003087938,65.94681459991261,65.94681459991261,65.94681459991261,65.94681459991261,65.94681459991261,65.94681459991261,65.94681459991261,65.94681459991261,None,None,None,,,,,,,,,,,,,,,,,,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['red_bottom_S_45', 'blue_bottom_S_45', 'red_top_G_45', 'red_bottom_V_0']","{'color': 'blue_bottom_S_45', 'position': 'red_top_G_45', 'orientation': 'red_bottom_V_0'}",position,['position'],red_top_G_45,2,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,65.94681459991261,65.94681459991261,None,,65.94681459991261,66.9487795997411,66.9487795997411,69.01948919985443,75.51565309986472,77.75336659979075,77.75336659979075,77.75336659979075,77.75336659979075,3,0.25647260062396526,78.03726099990308,78.03726099990308,78.03726099990308,78.03726099990308,78.03726099990308,78.03726099990308,78.03726099990308,78.03726099990308,None,None,None,65.94681459991261,65.94681459991261,,,,,,,,,,,,,,,,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['red_top_Q_45', 'blue_bottom_J_45', 'blue_top_J_45', 'blue_top_Q_0']","{'color': 'red_top_Q_45', 'position': 'blue_bottom_J_45', 'orientation': 'blue_top_Q_0'}",orientation,['orientation'],blue_top_Q_0,3,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,78.03726099990308,78.03726099990308,None,,78.03726099990308,79.03920469991863,79.03920469991863,81.1100452998653,87.62279489962384,89.84381189988926,89.84381189988926,89.84381189988926,89.84381189988926,4,0.3749887007288635,90.29472539993003,95.5885186996311,90.29472539993003,95.5885186996311,90.29472539993003,95.5885186996311,90.29472539993003,95.5885186996311,4.365079365079369,4.638156600296497,space,78.03726099990308,78.03726099990308,5.163057799916714,,,,,,,,,,,,,,,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['blue_top_X_0', 'red_left_V_0', 'red_top_T_45', 'red_top_T_0']","{'color': 'blue_top_X_0', 'position': 'red_left_V_0', 'orientation': 'red_top_T_45'}",position,"['orientation', 'position']",red_left_V_0,1,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,95.5885186996311,95.5885186996311,space,1.1648501004092395,96.77411639969796,,97.77607909962535,,106.54335559997708,108.58070029970258,108.58070029970258,108.58070029970258,108.58070029970258,2,1.1010587001219392,109.69954229984432,109.69954229984432,109.69954229984432,109.69954229984432,109.69954229984432,109.69954229984432,109.69954229984432,109.69954229984432,None,None,None,,,,,,,,,,,,,,,,,,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['blue_left_M_0', 'blue_left_B_45', 'blue_bottom_W_45', 'red_left_G_45']","{'color': 'red_left_G_45', 'position': 'blue_bottom_W_45', 'orientation': 'blue_left_M_0'}",color,"['color', 'orientation']",red_left_G_45,3,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,109.69954229984432,109.69954229984432,None,,109.69954229984432,110.7015065997839,110.7015065997839,112.78906199987978,119.48549829982221,121.70649529993534,121.70649529993534,121.70649529993534,121.70649529993534,4,1.4326738002710044,123.15939129982144,123.15939129982144,123.15939129982144,123.15939129982144,123.15939129982144,123.15939129982144,123.15939129982144,123.15939129982144,None,None,None,109.69954229984432,109.69954229984432,,,,,,,,,,,,,,,,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['red_right_N_45', 'blue_right_R_0', 'red_left_V_0', 'red_right_H_0']","{'color': 'blue_right_R_0', 'position': 'red_left_V_0', 'orientation': 'red_right_N_45'}",orientation,"['orientation', 'position']",red_right_N_45,0,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,123.15939129982144,123.15939129982144,None,,123.15939129982144,124.16135660000145,124.16135660000145,126.23213139967993,132.54457479994744,134.7655598996207,134.7655598996207,134.7655598996207,134.7655598996207,1,1.172715900465846,136.00130839971825,141.11137839965522,136.00130839971825,141.11137839965522,136.00130839971825,141.11137839965522,136.00130839971825,141.11137839965522,22.61904761904762,4.2178923999890685,space,123.15939129982144,123.15939129982144,5.056283900514245,,,,,,,,,,,,,,,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['blue_left_P_45', 'red_left_P_45', 'red_left_T_0', 'red_top_G_45']","{'color': 'blue_left_P_45', 'position': 'red_top_G_45', 'orientation': 'red_left_T_0'}",orientation,"['color', 'orientation', 'position']",red_left_T_0,2,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,141.11137839965522,141.11137839965522,space,2.0585914999246597,143.19881409965456,,144.20072769979015,,152.7843018998392,154.9887272999622,154.9887272999622,154.9887272999622,154.9887272999622,3,1.9007873004302382,156.9090978000313,156.9090978000313,156.9090978000313,156.9090978000313,156.9090978000313,156.9090978000313,156.9090978000313,156.9090978000313,None,None,None,,,,,,,,,,,,,,,,,,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
"['red_left_L_45', 'red_left_T_0', 'red_bottom_H_45', 'blue_left_C_45']","{'color': 'blue_left_C_45', 'position': 'red_bottom_H_45', 'orientation': 'red_left_T_0'}",color,"['color', 'orientation', 'position']",blue_left_C_45,3,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,12,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,156.9090978000313,156.9090978000313,None,,156.9090978000313,157.91118289995939,157.91118289995939,159.9985297997482,166.71183229982853,168.93280990002677,168.93280990002677,168.93280990002677,168.93280990002677,4,0.909240500535816,169.86797089967877,169.86797089967877,169.86797089967877,169.86797089967877,169.86797089967877,169.86797089967877,169.86797089967877,169.86797089967877,None,None,None,156.9090978000313,156.9090978000313,,,,,,,,,,,,,,,,,12,001,2024-09-05_15h25.02.208,robot_cogshifting_sign,2022.2.5,59.88421987397575,
