sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['blue_top_M_0', 'red_top_P_45', 'blue_left_Z_45', 'blue_top_D_45']","{'color': 'red_top_P_45', 'position': 'blue_left_Z_45', 'orientation': 'blue_top_M_0'}",orientation,['orientation'],blue_top_M_0,0,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['blue_bottom_R_0', 'red_left_H_0', 'red_bottom_X_45', 'red_bottom_S_0']","{'color': 'blue_bottom_R_0', 'position': 'red_left_H_0', 'orientation': 'red_bottom_X_45'}",position,['position'],red_left_H_0,1,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['blue_left_Q_45', 'red_left_X_0', 'red_bottom_F_45', 'red_left_S_45']","{'color': 'blue_left_Q_45', 'position': 'red_bottom_F_45', 'orientation': 'red_left_X_0'}",color,['color'],blue_left_Q_45,0,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['blue_top_L_0', 'blue_left_W_0', 'blue_top_F_45', 'red_top_F_0']","{'color': 'red_top_F_0', 'position': 'blue_left_W_0', 'orientation': 'blue_top_F_45'}",position,"['orientation', 'position']",blue_left_W_0,1,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['blue_bottom_R_0', 'red_bottom_N_0', 'red_bottom_D_45', 'red_top_B_0']","{'color': 'blue_bottom_R_0', 'position': 'red_top_B_0', 'orientation': 'red_bottom_D_45'}",orientation,"['color', 'orientation']",red_bottom_D_45,2,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['blue_bottom_W_45', 'red_bottom_G_0', 'blue_left_P_0', 'blue_bottom_W_0']","{'color': 'red_bottom_G_0', 'position': 'blue_left_P_0', 'orientation': 'blue_bottom_W_45'}",color,"['color', 'position']",red_bottom_G_0,1,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['red_left_K_45', 'blue_right_R_45', 'red_right_W_0', 'red_right_C_45']","{'color': 'blue_right_R_45', 'position': 'red_left_K_45', 'orientation': 'red_right_W_0'}",position,"['color', 'orientation', 'position']",red_left_K_45,0,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['red_left_S_0', 'red_bottom_K_45', 'red_bottom_C_0', 'blue_bottom_N_0']","{'color': 'blue_bottom_N_0', 'position': 'red_left_S_0', 'orientation': 'red_bottom_K_45'}",orientation,"['color', 'orientation', 'position']",red_bottom_K_45,1,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['red_right_M_45', 'blue_right_F_0', 'red_right_S_0', 'red_left_S_0']","{'color': 'blue_right_F_0', 'position': 'red_left_S_0', 'orientation': 'red_right_M_45'}",color,"['color', 'orientation', 'position']",blue_right_F_0,1,3,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,14
"['R_Arm_Y_For', 'R_Base_Y_Back', 'R_Arm_Z_For', 'L_Arm_Y_For']","{'laterality': 'L_Arm_Y_For', 'localisation': 'R_Base_Y_Back', 'movement': 'R_Arm_Z_For'}",localisation,['localisation'],R_Base_Y_Back,1,1,robot,2,True,False,"['robot_stimuli\\R_Arm_Y_For.mp4', 'robot_stimuli\\R_Base_Y_Back.mp4', 'robot_stimuli\\R_Arm_Z_For.mp4', 'robot_stimuli\\L_Arm_Y_For.mp4']",robot_stimuli\R_Base_Y_Back.mp4,14
