sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,cue_before_text.started,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,polygon.stopped,cue_before_text.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_movie.started,block_intro_text.stopped,block_intro_key.stopped,presentation_letter.started,presentation_letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.490429099649191,15.490429099649191,f,5.392860200256109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.933564799837768,20.933564799837768,space,25.56504980009049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['blue_top_K_45', 'red_left_L_45', 'blue_left_B_0', 'blue_left_T_45']","{'color': 'red_left_L_45', 'position': 'blue_top_K_45', 'orientation': 'blue_left_B_0'}",position,['position'],blue_top_K_45,0,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,17,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,46.55065559968352,46.55065559968352,space,3.972400900442153,50.54184109997004,51.543791299685836,60.77873259969056,63.01640939991921,63.01640939991921,63.01640939991921,63.01640939991921,1,32.24204570008442,95.31329629989341,95.31329629989341,95.31329629989341,95.31329629989341,95.31329629989341,95.31329629989341,95.31329629989341,95.31329629989341,None,None,None,,,,,,,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['blue_left_F_45', 'blue_left_B_0', 'red_left_K_45', 'blue_bottom_L_45']","{'color': 'red_left_K_45', 'position': 'blue_bottom_L_45', 'orientation': 'blue_left_B_0'}",orientation,['orientation'],blue_left_B_0,1,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,17,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,95.31329629989341,95.31329629989341,None,,95.31329629989341,96.3152544000186,104.69851019978523,106.9194082999602,106.9194082999602,106.9194082999602,106.9194082999602,2,0.7169676003977656,107.65420679980889,107.65420679980889,107.65420679980889,107.65420679980889,107.65420679980889,107.65420679980889,107.65420679980889,107.65420679980889,None,None,None,95.31329629989341,95.31329629989341,96.3152544000186,98.38596279965714,,,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['red_left_R_45', 'red_right_B_0', 'blue_right_R_45', 'red_right_W_45']","{'color': 'blue_right_R_45', 'position': 'red_left_R_45', 'orientation': 'red_right_B_0'}",color,['color'],blue_right_R_45,2,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,17,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,107.65420679980889,107.65420679980889,None,,107.65420679980889,108.65622909972444,117.03945440007374,119.2604239997454,119.2604239997454,119.2604239997454,119.2604239997454,3,0.5819840002804995,119.9116833996959,130.93331289989874,119.9116833996959,130.93331289989874,119.9116833996959,130.93331289989874,119.9116833996959,130.93331289989874,9.920634920634924,9.945929000154138,space,107.65420679980889,107.65420679980889,108.65622909972444,110.72694760002196,10.947288700379431,,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['blue_right_Z_0', 'red_top_P_0', 'blue_top_C_45', 'blue_top_V_0']","{'color': 'red_top_P_0', 'position': 'blue_right_Z_0', 'orientation': 'blue_top_C_45'}",position,"['orientation', 'position']",blue_right_Z_0,0,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,17,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,130.93331289989874,130.93331289989874,space,2.9416213002987206,133.9058838998899,134.90786179993302,143.4914675001055,145.72916739992797,145.72916739992797,145.72916739992797,145.72916739992797,3,0.4496955000795424,146.1967628998682,146.1967628998682,146.1967628998682,146.1967628998682,146.1967628998682,146.1967628998682,146.1967628998682,146.1967628998682,None,None,None,,,,,,,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['red_bottom_W_0', 'red_bottom_B_45', 'blue_bottom_D_45', 'red_top_V_45']","{'color': 'blue_bottom_D_45', 'position': 'red_top_V_45', 'orientation': 'red_bottom_W_0'}",color,"['color', 'position']",blue_bottom_D_45,2,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,17,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,146.1967628998682,146.1967628998682,None,,146.1967628998682,147.1987461000681,155.76556559978053,157.80292609985918,157.80292609985918,157.80292609985918,157.80292609985918,3,3.6557872002013028,161.47680959990248,161.47680959990248,161.47680959990248,161.47680959990248,161.47680959990248,161.47680959990248,161.47680959990248,161.47680959990248,None,None,None,146.1967628998682,146.1967628998682,147.1987461000681,149.26947959978133,,,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['blue_top_J_0', 'blue_top_Z_45', 'blue_left_W_45', 'red_top_Z_45']","{'color': 'red_top_Z_45', 'position': 'blue_left_W_45', 'orientation': 'blue_top_J_0'}",orientation,"['orientation', 'position']",blue_top_J_0,0,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,17,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,161.47680959990248,161.47680959990248,None,,161.47680959990248,162.4787987996824,170.8621161999181,172.88258459977806,172.88258459977806,172.88258459977806,172.88258459977806,1,0.45576609997078776,173.40024789981544,177.19110149983317,173.40024789981544,177.19110149983317,173.40024789981544,177.19110149983317,173.40024789981544,177.19110149983317,21.031746031746035,2.8324599000625312,space,161.47680959990248,161.47680959990248,162.4787987996824,164.54960649972782,3.739870300516486,,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['blue_bottom_G_45', 'blue_right_M_0', 'blue_right_T_45', 'red_right_Q_45']","{'color': 'red_right_Q_45', 'position': 'blue_bottom_G_45', 'orientation': 'blue_right_M_0'}",color,"['color', 'orientation', 'position']",red_right_Q_45,3,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,17,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,177.19110149983317,177.19110149983317,space,1.5956327002495527,178.8109408998862,179.81289190007374,188.21282209968194,190.4337713997811,190.4337713997811,190.4337713997811,190.4337713997811,1,0.5858397004194558,191.05165700009093,191.05165700009093,191.05165700009093,191.05165700009093,191.05165700009093,191.05165700009093,191.05165700009093,191.05165700009093,None,None,None,,,,,,,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
"['blue_left_R_45', 'blue_bottom_V_0', 'blue_left_R_0', 'red_left_S_0']","{'color': 'red_left_S_0', 'position': 'blue_bottom_V_0', 'orientation': 'blue_left_R_45'}",orientation,"['color', 'orientation', 'position']",blue_left_R_45,0,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,17,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,191.05165700009093,191.05165700009093,None,,191.05165700009093,192.05364669999108,200.62080639973283,202.6578322998248,202.6578322998248,202.6578322998248,202.6578322998248,4,0.6485126004554331,203.32583149988204,203.32583149988204,203.32583149988204,203.32583149988204,203.32583149988204,203.32583149988204,203.32583149988204,203.32583149988204,None,None,None,191.05165700009093,191.05165700009093,192.05364669999108,194.12446209974587,,,,,,,,,,,,,,,,,17,001,2024-09-10_13h07.16.541,robot_cogshifting_sign,2022.2.5,59.90186875058361,
