sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,cue_before_text.started,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,polygon.stopped,cue_before_text.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.863568000029773,29.863568000029773,f,16.07291750004515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.994399699848145,45.994399699848145,space,23.47015170007944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['red_bottom_T_0', 'blue_left_R_0', 'blue_bottom_P_0', 'blue_bottom_L_45']","{'color': 'red_bottom_T_0', 'position': 'blue_left_R_0', 'orientation': 'blue_bottom_L_45'}",position,['position'],blue_left_R_0,1,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,69.52402570005506,69.52402570005506,space,2.5415231995284557,72.09579889988527,73.09774139989167,83.70199450012296,85.73929279996082,85.73929279996082,85.73929279996082,85.73929279996082,2,154.06049309996888,239.85922480002046,239.85922480002046,239.85922480002046,239.85922480002046,239.85922480002046,239.85922480002046,239.85922480002046,239.85922480002046,None,None,None,,,,,,,,,,,,,,,,,,,,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['red_left_R_0', 'blue_left_L_0', 'blue_bottom_G_0', 'blue_left_T_45']","{'color': 'red_left_R_0', 'position': 'blue_bottom_G_0', 'orientation': 'blue_left_T_45'}",orientation,['orientation'],blue_left_T_45,3,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,239.85922480002046,239.85922480002046,None,,239.85922480002046,240.86121390014887,249.44484339980409,251.66585949994624,251.66585949994624,251.66585949994624,251.66585949994624,2,17.654375500045717,269.35057590017095,269.35057590017095,269.35057590017095,269.35057590017095,269.35057590017095,269.35057590017095,269.35057590017095,269.35057590017095,None,None,None,239.85922480002046,239.85922480002046,240.86121390014887,242.9319838997908,,,,,,,,,,,,,,,,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['blue_bottom_S_0', 'red_bottom_M_0', 'blue_left_V_0', 'blue_bottom_B_45']","{'color': 'red_bottom_M_0', 'position': 'blue_left_V_0', 'orientation': 'blue_bottom_B_45'}",color,['color'],red_bottom_M_0,1,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,269.35057590017095,269.35057590017095,None,,269.35057590017095,270.3525976999663,278.9361625998281,281.1571328002028,281.1571328002028,281.1571328002028,281.1571328002028,2,0.6512144999578595,281.87526659993455,287.5864623999223,281.87526659993455,287.5864623999223,281.87526659993455,287.5864623999223,281.87526659993455,287.5864623999223,25.634920634920633,3.9340257002040744,space,269.35057590017095,269.35057590017095,270.3525976999663,272.42326499987394,5.652687500230968,,,,,,,,,,,,,,,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['red_right_P_0', 'red_right_H_45', 'blue_right_K_0', 'red_bottom_J_0']","{'color': 'blue_right_K_0', 'position': 'red_bottom_J_0', 'orientation': 'red_right_H_45'}",color,"['color', 'orientation']",blue_right_K_0,2,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,287.5864623999223,287.5864623999223,space,3.79025759967044,291.39398769987747,292.3959531998262,301.17989030014724,303.20066590001807,303.20066590001807,303.20066590001807,303.20066590001807,2,4.11899339966476,307.3420036002062,307.3420036002062,307.3420036002062,307.3420036002062,307.3420036002062,307.3420036002062,307.3420036002062,307.3420036002062,None,None,None,,,,,,,,,,,,,,,,,,,,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['blue_top_Z_45', 'red_left_X_45', 'red_top_W_0', 'red_top_M_45']","{'color': 'blue_top_Z_45', 'position': 'red_left_X_45', 'orientation': 'red_top_W_0'}",orientation,"['orientation', 'position']",red_top_W_0,2,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,307.3420036002062,307.3420036002062,None,,307.3420036002062,308.34407000010833,316.9108445998281,318.94819540018216,318.94819540018216,318.94819540018216,318.94819540018216,2,6.131539500318468,325.1103167999536,325.1103167999536,325.1103167999536,325.1103167999536,325.1103167999536,325.1103167999536,325.1103167999536,325.1103167999536,None,None,None,307.3420036002062,307.3420036002062,308.34407000010833,310.4147573001683,,,,,,,,,,,,,,,,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['red_top_T_0', 'blue_top_F_0', 'red_bottom_V_0', 'red_top_F_45']","{'color': 'blue_top_F_0', 'position': 'red_bottom_V_0', 'orientation': 'red_top_F_45'}",position,"['color', 'position']",red_bottom_V_0,2,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,325.1103167999536,325.1103167999536,None,,325.1103167999536,326.1122834999114,334.4955670000054,336.5161323999055,336.5161323999055,336.5161323999055,336.5161323999055,3,3.9479864998720586,340.52404229994863,344.9494020999409,340.52404229994863,344.9494020999409,340.52404229994863,344.9494020999409,340.52404229994863,344.9494020999409,38.65079365079365,2.6646827002987266,space,325.1103167999536,325.1103167999536,326.1122834999114,328.18304880009964,4.371487699914724,,,,,,,,,,,,,,,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['red_right_P_45', 'blue_right_S_0', 'blue_right_G_45', 'blue_bottom_N_45']","{'color': 'red_right_P_45', 'position': 'blue_bottom_N_45', 'orientation': 'blue_right_S_0'}",position,"['color', 'orientation', 'position']",blue_bottom_N_45,3,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,344.9494020999409,344.9494020999409,space,4.6825072998180985,349.6586493998766,350.6606111000292,359.24424970010296,361.44851459981874,361.44851459981874,361.44851459981874,361.44851459981874,3,6.991653299890459,368.462326799985,368.462326799985,368.462326799985,368.462326799985,368.462326799985,368.462326799985,368.462326799985,368.462326799985,None,None,None,,,,,,,,,,,,,,,,,,,,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
"['blue_left_V_45', 'blue_bottom_K_0', 'red_left_C_0', 'blue_left_G_0']","{'color': 'red_left_C_0', 'position': 'blue_bottom_K_0', 'orientation': 'blue_left_V_45'}",color,"['color', 'orientation', 'position']",red_left_C_0,2,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,18,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,368.462326799985,368.462326799985,None,,368.462326799985,369.4643164998852,378.0312124998309,380.2521851998754,380.2521851998754,380.2521851998754,380.2521851998754,3,1.9153475002385676,382.18934120004997,382.18934120004997,382.18934120004997,382.18934120004997,382.18934120004997,382.18934120004997,382.18934120004997,382.18934120004997,None,None,None,368.462326799985,368.462326799985,369.4643164998852,371.535077100154,,,,,,,,,,,,,,,,,18,001,2024-09-12_15h18.09.227,robot_cogshifting_sign,2022.2.5,59.86729820962966,
