sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject
"['red_top_X_45', 'red_right_Q_45', 'red_top_W_0', 'blue_top_F_45']","{'color': 'blue_top_F_45', 'position': 'red_right_Q_45', 'orientation': 'red_top_W_0'}",orientation,"['orientation', 'position']",red_top_W_0,2,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['red_bottom_K_45', 'blue_bottom_S_0', 'red_left_L_0', 'red_bottom_R_0']","{'color': 'blue_bottom_S_0', 'position': 'red_left_L_0', 'orientation': 'red_bottom_K_45'}",position,"['orientation', 'position']",red_left_L_0,2,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['red_bottom_R_45', 'red_left_X_0', 'red_left_F_45', 'blue_left_M_45']","{'color': 'blue_left_M_45', 'position': 'red_bottom_R_45', 'orientation': 'red_left_X_0'}",color,"['color', 'orientation']",blue_left_M_45,3,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['red_bottom_K_0', 'red_top_D_0', 'red_bottom_C_45', 'blue_bottom_H_0']","{'color': 'blue_bottom_H_0', 'position': 'red_top_D_0', 'orientation': 'red_bottom_C_45'}",position,"['orientation', 'position']",red_top_D_0,1,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['red_top_B_45', 'blue_bottom_K_45', 'red_bottom_H_0', 'red_bottom_N_45']","{'color': 'blue_bottom_K_45', 'position': 'red_top_B_45', 'orientation': 'red_bottom_H_0'}",color,"['color', 'orientation']",blue_bottom_K_45,1,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['blue_right_D_0', 'blue_bottom_T_45', 'red_right_X_45', 'blue_right_S_45']","{'color': 'red_right_X_45', 'position': 'blue_bottom_T_45', 'orientation': 'blue_right_D_0'}",orientation,"['orientation', 'position']",blue_right_D_0,0,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['red_left_T_0', 'red_right_R_45', 'blue_left_G_45', 'red_left_M_45']","{'color': 'blue_left_G_45', 'position': 'red_right_R_45', 'orientation': 'red_left_T_0'}",position,"['color', 'position']",red_right_R_45,1,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['blue_top_X_45', 'red_top_H_45', 'blue_top_G_0', 'blue_left_D_45']","{'color': 'red_top_H_45', 'position': 'blue_left_D_45', 'orientation': 'blue_top_G_0'}",color,"['color', 'position']",red_top_H_45,1,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['blue_right_F_0', 'blue_left_P_45', 'red_right_Z_45', 'blue_right_F_45']","{'color': 'red_right_Z_45', 'position': 'blue_left_P_45', 'orientation': 'blue_right_F_0'}",orientation,"['orientation', 'position']",blue_right_F_0,0,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
"['red_right_S_45', 'blue_bottom_V_45', 'blue_right_D_0', 'blue_right_R_45']","{'color': 'red_right_S_45', 'position': 'blue_bottom_V_45', 'orientation': 'blue_right_D_0'}",position,['position'],blue_bottom_V_45,1,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,2
