sequence,odd_ones,parameter,choices,target,target_idx,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_movie.started,block_intro_text.stopped,block_intro_key.stopped,presentation_letter.started,presentation_letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.034972599999975,13.034972599999975,f,0.398362800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.491957999999983,13.491957999999983,space,151.04468630000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_top_W_45', 'red_top_G_45', 'red_right_W_45', 'red_top_H_0']","{'color': 'blue_top_W_45', 'position': 'red_right_W_45', 'orientation': 'red_top_H_0'}",color,['color'],blue_top_W_45,0,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,164.57250269999997,164.57250269999997,space,4.436492500000014,169.03592549999996,170.03586719999998,170.03586719999998,172.53871679999997,179.44430159999996,181.68088089999998,181.68088089999998,181.68088089999998,181.68088089999998,1,5.567550800000021,187.32259089999997,187.32259089999997,187.32259089999997,187.32259089999997,187.32259089999997,187.32259089999997,187.32259089999997,187.32259089999997,None,None,None,,,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['red_left_W_45', 'red_bottom_M_0', 'blue_left_N_0', 'red_left_G_0']","{'color': 'blue_left_N_0', 'position': 'red_bottom_M_0', 'orientation': 'red_left_W_45'}",position,['position'],red_bottom_M_0,1,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,187.32259089999997,187.32259089999997,None,,187.32259089999997,,188.3362651,,197.314619,199.3388776,199.3388776,199.3388776,199.3388776,3,3.6297081000000446,202.9860557,202.9860557,202.9860557,202.9860557,202.9860557,202.9860557,202.9860557,202.9860557,None,None,None,187.32259089999997,187.32259089999997,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_top_D_45', 'red_top_B_0', 'blue_right_F_0', 'blue_top_P_0']","{'color': 'red_top_B_0', 'position': 'blue_right_F_0', 'orientation': 'blue_top_D_45'}",orientation,['orientation'],blue_top_D_45,0,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,202.9860557,202.9860557,None,,202.9860557,203.98610959999996,203.98610959999996,206.05810889999998,212.9718737,215.1922156,215.1922156,215.1922156,215.1922156,2,1.2246984999999597,216.49167209999996,230.1014098,216.49167209999996,230.1014098,216.49167209999996,230.1014098,216.49167209999996,230.1014098,7.006172839506167,11.826255800000013,space,202.9860557,202.9860557,13.532611199999991,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_bottom_V_45', 'blue_left_D_0', 'red_left_B_45', 'blue_left_N_45']","{'color': 'red_left_B_45', 'position': 'blue_bottom_V_45', 'orientation': 'blue_left_D_0'}",color,"['color', 'orientation']",red_left_B_45,2,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,230.1014098,230.1014098,space,7.514589199999961,237.63615369999997,238.6364039,238.6364039,240.7198801,247.0147753,249.0474645,249.0474645,249.0474645,249.0474645,3,5.369077200000021,254.43632839999998,254.43632839999998,254.43632839999998,254.43632839999998,254.43632839999998,254.43632839999998,254.43632839999998,254.43632839999998,None,None,None,,,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['red_left_T_0', 'blue_left_W_45', 'blue_left_J_0', 'blue_top_S_0']","{'color': 'red_left_T_0', 'position': 'blue_top_S_0', 'orientation': 'blue_left_W_45'}",position,"['color', 'position']",blue_top_S_0,3,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,254.43632839999998,254.43632839999998,None,,254.43632839999998,255.43629019999997,255.43629019999997,257.5042871,264.4115796,266.43250359999996,266.43250359999996,266.43250359999996,266.43250359999996,2,6.2084632999999485,272.66947039999997,272.66947039999997,272.66947039999997,272.66947039999997,272.66947039999997,272.66947039999997,272.66947039999997,272.66947039999997,None,None,None,254.43632839999998,254.43632839999998,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['red_bottom_F_0', 'red_left_T_0', 'red_bottom_M_45', 'blue_bottom_Z_0']","{'color': 'blue_bottom_Z_0', 'position': 'red_left_T_0', 'orientation': 'red_bottom_M_45'}",orientation,"['color', 'orientation']",red_bottom_M_45,2,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,272.66947039999997,272.66947039999997,None,,272.66947039999997,273.6696501,273.6696501,275.736807,282.4441858,284.6616439,284.6616439,284.6616439,284.6616439,3,8.41848639999995,293.12999909999996,298.2774199,293.12999909999996,298.2774199,293.12999909999996,298.2774199,293.12999909999996,298.2774199,20.740740740740733,4.235458499999993,space,272.66947039999997,272.66947039999997,5.0775443,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_bottom_P_45', 'blue_left_P_45', 'red_left_L_45', 'blue_left_K_0']","{'color': 'red_left_L_45', 'position': 'blue_bottom_P_45', 'orientation': 'blue_left_K_0'}",color,"['color', 'orientation', 'position']",red_left_L_45,2,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,298.2774199,298.2774199,space,45.643651100000056,343.95293839999994,344.95297569999997,344.95297569999997,347.02391029999995,353.92603560000003,356.14539929999995,356.14539929999995,356.14539929999995,356.14539929999995,3,4.248021400000027,360.41969209999996,360.41969209999996,360.41969209999996,360.41969209999996,360.41969209999996,360.41969209999996,360.41969209999996,360.41969209999996,None,None,None,,,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
"['blue_left_F_0', 'red_left_B_45', 'blue_left_T_45', 'blue_right_V_45']","{'color': 'red_left_B_45', 'position': 'blue_right_V_45', 'orientation': 'blue_left_F_0'}",orientation,"['color', 'orientation', 'position']",blue_left_F_0,0,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,9,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,360.41969209999996,360.41969209999996,None,,360.41969209999996,361.42017300000003,361.42017300000003,363.4860227,370.1782708,372.2047591,372.2047591,372.2047591,372.2047591,1,2.482873999999981,374.7195962,374.7195962,374.7195962,374.7195962,374.7195962,374.7195962,374.7195962,374.7195962,None,None,None,360.41969209999996,360.41969209999996,,,,,,,,,,,,,,,,,9,001,2024-07-25_10h33.03.948,robot_cogshifting_sign,2022.2.5,59.99761209504396,
