sequence,odd_ones,choices,choice_n,parameter,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,cue_before_text.stopped,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.632950100000016,6.632950100000016,f,2.8493334999948274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.500757000001613,9.500757000001613,space,0.44663709998712875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['blue_left_R_45', 'blue_bottom_M_45', 'red_bottom_K_45', 'blue_bottom_J_0']","{'color': 'red_bottom_K_45', 'position': 'blue_left_R_45', 'orientation': 'blue_bottom_J_0'}",['color'],0,color,red_bottom_K_45,1,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,9.982969000004232,9.982969000004232,space,4.187752199970419,14.201233500003582,15.201201200019568,15.201201200019568,17.283407200011425,23.766385900002206,25.9827916000213,25.9827916000213,25.9827916000213,25.9827916000213,3,0.5071343999588862,26.60908890000428,26.60908890000428,26.60908890000428,26.60908890000428,26.60908890000428,26.60908890000428,26.60908890000428,26.60908890000428,None,None,None,,,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['red_right_P_0', 'blue_right_C_45', 'red_right_V_45', 'red_top_H_45']","{'color': 'blue_right_C_45', 'position': 'red_top_H_45', 'orientation': 'red_right_P_0'}",['orientation'],0,orientation,red_right_P_0,1,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,26.60908890000428,26.60908890000428,None,,26.60908890000428,,27.617925100028515,,36.14980060001835,38.36636980000185,38.36636980000185,38.36636980000185,38.36636980000185,1,0.44361129999742843,38.83420950002619,38.83420950002619,38.83420950002619,38.83420950002619,38.83420950002619,38.83420950002619,38.83420950002619,38.83420950002619,None,None,None,26.60908890000428,26.60908890000428,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['blue_left_J_0', 'red_top_F_0', 'blue_top_K_0', 'blue_top_Q_45']","{'color': 'red_top_F_0', 'position': 'blue_left_J_0', 'orientation': 'blue_top_Q_45'}",['position'],0,position,blue_left_J_0,1,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,38.83420950002619,38.83420950002619,None,,38.83420950002619,39.83423630002653,39.83423630002653,41.90005940000992,48.567437400022754,50.58288650002214,50.58288650002214,50.58288650002214,50.58288650002214,1,0.42020069996942766,51.06622450001305,55.01788470000611,51.06622450001305,55.01788470000611,51.06622450001305,55.01788470000611,51.06622450001305,55.01788470000611,13.487654320987652,3.155215999984648,space,38.83420950002619,38.83420950002619,3.8888270999887027,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['red_bottom_G_0', 'blue_bottom_V_45', 'red_right_N_45', 'red_bottom_Q_45']","{'color': 'blue_bottom_V_45', 'position': 'red_right_N_45', 'orientation': 'red_bottom_G_0'}","['color', 'position']",0,color,blue_bottom_V_45,2,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,55.01788470000611,55.01788470000611,space,0.8018947999808006,55.85126360002323,56.85123300002306,56.85123300002306,58.91645400002017,65.38286990000051,67.5996487000084,67.5996487000084,67.5996487000084,67.5996487000084,2,1.8348336999770254,69.4675446000183,69.4675446000183,69.4675446000183,69.4675446000183,69.4675446000183,69.4675446000183,69.4675446000183,69.4675446000183,None,None,None,,,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['blue_bottom_Q_0', 'blue_left_B_45', 'blue_left_W_0', 'red_left_V_0']","{'color': 'red_left_V_0', 'position': 'blue_bottom_Q_0', 'orientation': 'blue_left_B_45'}","['position', 'orientation']",0,position,blue_bottom_Q_0,2,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,69.4675446000183,69.4675446000183,None,,69.4675446000183,70.46754750001128,70.46754750001128,72.53329510000185,78.98341300000902,81.0162589000247,81.0162589000247,81.0162589000247,81.0162589000247,2,2.1619630999630317,83.2011398000177,83.2011398000177,83.2011398000177,83.2011398000177,83.2011398000177,83.2011398000177,83.2011398000177,83.2011398000177,None,None,None,69.4675446000183,69.4675446000183,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['red_bottom_X_0', 'red_right_Z_45', 'blue_bottom_C_45', 'red_bottom_L_45']","{'color': 'blue_bottom_C_45', 'position': 'red_right_Z_45', 'orientation': 'red_bottom_X_0'}","['color', 'orientation']",0,color,blue_bottom_C_45,2,letter,1,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,83.2011398000177,83.2011398000177,None,,83.2011398000177,84.20125250000274,84.20125250000274,86.2670203000016,92.73272130000987,94.94956380000804,94.94956380000804,94.94956380000804,94.94956380000804,3,2.7741489999752957,97.7664850000001,101.11734380002599,97.7664850000001,101.11734380002599,97.7664850000001,101.11734380002599,97.7664850000001,101.11734380002599,29.074074074074073,2.6049904000246897,space,83.2011398000177,83.2011398000177,3.2679645999742206,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['red_right_Q_0', 'red_right_V_45', 'blue_right_S_45', 'red_bottom_B_45']","{'color': 'blue_right_S_45', 'position': 'red_bottom_B_45', 'orientation': 'red_right_Q_0'}","['color', 'position', 'orientation']",0,color,blue_right_S_45,3,letter,1,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,101.11734380002599,101.11734380002599,space,2.926070299989078,104.0674849000061,105.0675056000182,105.0675056000182,107.1327248000016,113.98276940002688,116.19966940002632,116.19966940002632,116.19966940002632,116.19966940002632,2,3.5550266999925952,119.78438530000858,119.78438530000858,119.78438530000858,119.78438530000858,119.78438530000858,119.78438530000858,119.78438530000858,119.78438530000858,None,None,None,,,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
"['blue_right_R_45', 'blue_left_P_0', 'red_right_G_0', 'blue_right_F_0']","{'color': 'red_right_G_0', 'position': 'blue_left_P_0', 'orientation': 'blue_right_R_45'}","['color', 'position', 'orientation']",1,position,blue_left_P_0,3,letter,1,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,119.78438530000858,119.78438530000858,None,,119.78438530000858,120.78440290002618,120.78440290002618,122.84941980001167,129.48342770000454,131.4995956000057,131.4995956000057,131.4995956000057,131.4995956000057,2,3.2154202999954578,134.7340925000026,134.7340925000026,134.7340925000026,134.7340925000026,134.7340925000026,134.7340925000026,134.7340925000026,134.7340925000026,None,None,None,119.78438530000858,119.78438530000858,,,,,,,,,,,,,,,,,0,001,2024-06-24_14h07.51.500,robot_cogshifting_sign,2022.2.5,60.131278616567165,
