sequence,odd_ones,choices,choice_n,parameter,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,cue_before_text.started,training_presentation_letter.started,training_presentation_letter.stopped,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,cue_before_text.stopped,RSME_key.rt,training_presentation_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_movie.started,block_intro_text.stopped,block_intro_key.stopped,presentation_letter.started,presentation_letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.077095600019675,11.077095600019675,f,0.36449659999925643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.463584200013429,11.463584200013429,space,0.9225486999785062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['red_top_B_0', 'red_left_B_45', 'red_top_P_45', 'blue_top_C_45']","{'color': 'blue_top_C_45', 'position': 'red_left_B_45', 'orientation': 'red_top_B_0'}",['color'],0,color,blue_top_C_45,1,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,12.433509399998002,12.433509399998002,space,1.7893069999990985,14.231861200009007,15.235825700015994,15.235825700015994,24.515058299992234,26.54919119999977,26.54919119999977,26.54919119999977,26.54919119999977,4,0.45379279999178834,27.05152390000876,27.05152390000876,27.05152390000876,27.05152390000876,27.05152390000876,27.05152390000876,27.05152390000876,27.05152390000876,None,None,None,,,,,,,,,,,,,,,,,,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['red_left_Q_45', 'blue_left_P_0', 'blue_left_S_45', 'blue_right_K_45']","{'color': 'red_left_Q_45', 'position': 'blue_right_K_45', 'orientation': 'blue_left_P_0'}",['orientation'],0,orientation,blue_left_P_0,1,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,27.05152390000876,27.05152390000876,None,,27.05152390000876,,28.056285099999513,36.6630945999932,38.691411000007065,38.691411000007065,38.691411000007065,38.691411000007065,1,0.5679311999992933,39.272720200009644,39.272720200009644,39.272720200009644,39.272720200009644,39.272720200009644,39.272720200009644,39.272720200009644,39.272720200009644,None,None,None,27.05152390000876,27.05152390000876,,,,,,,,,,,,,,,,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['red_right_J_45', 'red_left_F_45', 'red_right_L_0', 'blue_right_K_45']","{'color': 'blue_right_K_45', 'position': 'red_left_F_45', 'orientation': 'red_right_L_0'}",['position'],0,position,red_left_F_45,1,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,39.272720200009644,39.272720200009644,None,,39.272720200009644,40.2763637000171,40.2763637000171,49.06626590000815,51.10691460000817,51.10691460000817,51.10691460000817,51.10691460000817,2,0.4302318000118248,51.575897200003965,54.22649620001903,51.575897200003965,54.22649620001903,51.575897200003965,54.22649620001903,51.575897200003965,54.22649620001903,7.006172839506167,2.435645999998087,space,39.272720200009644,39.272720200009644,42.35743249999359,2.624025099998107,,,,,,,,,,,,,,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['blue_top_H_45', 'red_top_K_45', 'blue_right_J_45', 'blue_top_N_0']","{'color': 'red_top_K_45', 'position': 'blue_right_J_45', 'orientation': 'blue_top_N_0'}","['position', 'orientation']",0,position,blue_right_J_45,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,54.22649620001903,54.22649620001903,space,2.5269651999988127,56.76020970000536,57.76030510000419,57.76030510000419,66.36340410000412,68.39214979999815,68.39214979999815,68.39214979999815,68.39214979999815,3,2.5052909000078216,70.91225130000385,70.91225130000385,70.91225130000385,70.91225130000385,70.91225130000385,70.91225130000385,70.91225130000385,70.91225130000385,None,None,None,,,59.84202010001172,,,,,,,,,,,,,,,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['blue_right_C_45', 'red_right_H_0', 'red_left_C_45', 'red_right_P_45']","{'color': 'blue_right_C_45', 'position': 'red_left_C_45', 'orientation': 'red_right_H_0'}","['color', 'orientation']",0,color,blue_right_C_45,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,70.91225130000385,70.91225130000385,None,,70.91225130000385,,71.92394390000845,80.53313779999735,82.76744310001959,82.76744310001959,82.76744310001959,82.76744310001959,2,2.0572548000200186,84.83653770000092,84.83653770000092,84.83653770000092,84.83653770000092,84.83653770000092,84.83653770000092,84.83653770000092,84.83653770000092,None,None,None,70.91225130000385,70.91225130000385,,,,,,,,,,,,,,,,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['red_right_D_45', 'red_top_X_0', 'red_top_S_45', 'blue_top_C_45']","{'color': 'blue_top_C_45', 'position': 'red_right_D_45', 'orientation': 'red_top_X_0'}","['color', 'position']",0,color,blue_top_C_45,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,84.83653770000092,84.83653770000092,None,,84.83653770000092,85.83955460001016,85.83955460001016,94.83898600001703,97.07510710001225,97.07510710001225,97.07510710001225,97.07510710001225,4,1.6111261999758426,98.71695080000791,100.63400489999913,98.71695080000791,100.63400489999913,98.71695080000791,100.63400489999913,98.71695080000791,100.63400489999913,7.469135802469132,1.4519736999936868,space,84.83653770000092,84.83653770000092,87.91923130000941,1.8912727999850176,,,,,,,,,,,,,,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['red_top_D_45', 'blue_top_W_45', 'blue_bottom_Q_45', 'blue_top_B_0']","{'color': 'red_top_D_45', 'position': 'blue_bottom_Q_45', 'orientation': 'blue_top_B_0'}","['color', 'position', 'orientation']",2,orientation,blue_top_B_0,3,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,100.63400489999913,100.63400489999913,space,2.4902630999858957,103.13511820000713,104.13492640000186,104.13492640000186,112.92137530000764,115.16041380001116,115.16041380001116,115.16041380001116,115.16041380001116,4,2.24758340002154,117.42442930000834,117.42442930000834,117.42442930000834,117.42442930000834,117.42442930000834,117.42442930000834,117.42442930000834,117.42442930000834,None,None,None,,,106.21237829999882,,,,,,,,,,,,,,,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['blue_bottom_D_45', 'red_top_K_45', 'red_bottom_R_0', 'red_bottom_J_45']","{'color': 'blue_bottom_D_45', 'position': 'red_top_K_45', 'orientation': 'red_bottom_R_0'}","['color', 'position', 'orientation']",1,position,red_top_K_45,3,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,117.42442930000834,117.42442930000834,None,,117.42442930000834,118.42472290000296,118.42472290000296,126.79605599999195,128.82979930000147,128.82979930000147,128.82979930000147,128.82979930000147,2,2.598785400012275,131.43964309999137,131.43964309999137,131.43964309999137,131.43964309999137,131.43964309999137,131.43964309999137,131.43964309999137,131.43964309999137,None,None,None,117.42442930000834,117.42442930000834,120.4924672000052,,,,,,,,,,,,,,,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
"['blue_left_R_45', 'blue_top_L_0', 'blue_top_T_45', 'red_top_N_45']","{'color': 'red_top_N_45', 'position': 'blue_left_R_45', 'orientation': 'blue_top_L_0'}","['color', 'position', 'orientation']",0,color,red_top_N_45,3,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,1,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,131.43964309999137,131.43964309999137,None,,131.43964309999137,132.4434761000157,132.4434761000157,141.03463219999685,143.26607710000826,143.26607710000826,143.26607710000826,143.26607710000826,4,4.933429400000023,148.22780369999236,151.43338440000662,148.22780369999236,151.43338440000662,148.22780369999236,151.43338440000662,148.22780369999236,151.43338440000662,63.95061728395062,2.4871746000135317,space,131.43964309999137,131.43964309999137,134.52035020000767,3.176726100005908,,,,,,,,,,,,,,,,1,001,2024-06-24_14h36.28.142,robot_cogshifting_sign,2022.2.5,143.76388221614772,
