sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject
P,False,1,letter,2,True,False,robot_stimuli\\filler.mp4,15
W,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,15
W,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,15
Z,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,15
Z,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,15
S,False,1,letter,2,False,True,robot_stimuli\\filler.mp4,15
C,False,2,letter,2,True,False,robot_stimuli\\filler.mp4,15
G,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,15
T,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,15
G,True,2,letter,2,False,False,robot_stimuli\\filler.mp4,15
N,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,15
G,True,2,letter,2,False,True,robot_stimuli\\filler.mp4,15
W,False,3,letter,2,True,False,robot_stimuli\\filler.mp4,15
L,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,15
K,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,15
W,True,3,letter,2,False,False,robot_stimuli\\filler.mp4,15
L,True,3,letter,2,False,False,robot_stimuli\\filler.mp4,15
H,False,3,letter,2,False,True,robot_stimuli\\filler.mp4,15
R_Base_Z_For,False,1,robot,1,True,False,robot_stimuli\R_Base_Z_For.mp4,15
L_Head_Z_Back,False,1,robot,1,False,False,robot_stimuli\L_Head_Z_Back.mp4,15
R_Arm_Y_For,False,1,robot,1,False,False,robot_stimuli\R_Arm_Y_For.mp4,15
R_Arm_Z_Back,False,1,robot,1,False,False,robot_stimuli\R_Arm_Z_Back.mp4,15
R_Arm_Z_Back,True,1,robot,1,False,False,robot_stimuli\R_Arm_Z_Back.mp4,15
R_Arm_Z_Back,True,1,robot,1,False,True,robot_stimuli\R_Arm_Z_Back.mp4,15
R_Arm_Z_For,False,2,robot,1,True,False,robot_stimuli\R_Arm_Z_For.mp4,15
R_Arm_Z_For,False,2,robot,1,False,False,robot_stimuli\R_Arm_Z_For.mp4,15
L_Arm_X_For,False,2,robot,1,False,False,robot_stimuli\L_Arm_X_For.mp4,15
L_Head_Y_For,False,2,robot,1,False,False,robot_stimuli\L_Head_Y_For.mp4,15
L_Arm_X_For,True,2,robot,1,False,False,robot_stimuli\L_Arm_X_For.mp4,15
L_Head_Y_For,True,2,robot,1,False,True,robot_stimuli\L_Head_Y_For.mp4,15
L_Arm_Z_For,False,3,robot,1,True,False,robot_stimuli\L_Arm_Z_For.mp4,15
L_Base_Y_Back,False,3,robot,1,False,False,robot_stimuli\L_Base_Y_Back.mp4,15
L_Head_Y_For,False,3,robot,1,False,False,robot_stimuli\L_Head_Y_For.mp4,15
L_Arm_Z_For,True,3,robot,1,False,False,robot_stimuli\L_Arm_Z_For.mp4,15
L_Base_Y_Back,True,3,robot,1,False,False,robot_stimuli\L_Base_Y_Back.mp4,15
L_Arm_Y_For,False,3,robot,1,False,True,robot_stimuli\L_Arm_Y_For.mp4,15
