subject,stimuli,condition,correct,f1,rt,rsme
0,letter,1,0.9933333333333333,1.0,0.5865203530202769,9.886831275720162
0,letter,2,0.9866666666666667,1.0,0.9061214310811342,25.679012345679002
0,letter,3,0.94,0.9152542372881356,1.124155356164588,51.45061728395061
0,robot,1,0.96,0.9642857142857143,1.9834200246576787,31.234567901234566
0,robot,2,0.9266666666666666,0.9,2.3964083848277227,61.12139917695473
0,robot,3,0.86,0.7384615384615385,2.4788126191781834,104.79423868312757
1,letter,1,0.9733333333333334,0.9836065573770492,0.5856255387756211,18.271604938271597
1,letter,2,0.9533333333333334,1.0,0.5357550664336599,13.8477366255144
1,letter,3,0.92,0.9491525423728815,0.518423321986082,26.502057613168727
1,robot,1,0.68,0.9354838709677419,2.04115658018872,28.86831275720165
1,robot,2,0.8266666666666667,0.8615384615384616,2.111984199248275,38.59053497942387
1,robot,3,0.8533333333333334,0.8235294117647058,2.1567039600001117,44.45473251028807
2,letter,1,0.94,0.9473684210526316,0.7558736479179262,21.769547325102877
2,letter,2,0.8866666666666667,0.8771929824561403,0.9588230607154921,36.73868312757202
2,letter,3,0.8666666666666667,0.9090909090909091,1.148978829631125,44.96913580246914
2,robot,1,0.8533333333333334,0.787878787878788,2.1024897373254774,60.915637860082306
2,robot,2,0.82,0.823529411764706,2.360624651517741,63.12757201646091
2,robot,3,0.6666666666666666,0.4,2.2809218217757476,92.24279835390946
4,letter,1,0.9866666666666667,0.9655172413793104,0.5173782320000737,7.366255144032919
4,letter,2,0.9733333333333334,0.9333333333333333,0.7643680533334357,12.716049382716044
4,letter,3,0.9066666666666666,0.9019607843137255,1.0242979063830553,37.3559670781893
4,robot,1,0.9666666666666667,0.9655172413793104,1.6533992020409087,17.860082304526745
4,robot,2,0.9333333333333333,0.8928571428571429,1.9572528034246819,33.086419753086425
4,robot,3,0.8466666666666667,0.6153846153846153,2.242850243537529,43.991769547325106
5,letter,1,1.0,1.0,0.5799931066666041,23.62139917695473
5,letter,2,0.9666666666666667,0.9473684210526316,0.9339556405404392,36.73868312757202
5,letter,3,0.9266666666666666,0.8771929824561403,1.0304392198628634,79.17695473251028
5,robot,1,0.9933333333333333,0.9836065573770492,2.1335657299999022,29.38271604938271
5,robot,2,0.9,0.8529411764705883,2.349851016551632,50.31893004115227
5,robot,3,0.8066666666666666,0.6567164179104477,2.480932810416574,86.6872427983539
6,letter,1,0.9733333333333334,0.9491525423728815,0.5298867167784309,25.421810699588473
6,letter,2,0.9733333333333334,0.983050847457627,0.7097819727889431,32.72633744855967
6,letter,3,0.82,0.7796610169491526,1.1184726566175347,52.47942386831276
6,robot,1,0.9933333333333333,0.9836065573770492,1.6272695139999147,29.537037037037035
6,robot,2,0.92,0.870967741935484,1.7920136458901528,45.07201646090535
6,robot,3,0.78,0.7384615384615385,2.4070556276117157,53.14814814814815
7,letter,1,1.0,1.0,0.6113096006663151,13.436213991769547
7,letter,2,0.98,0.9666666666666667,0.8872986671137335,25.88477366255144
7,letter,3,0.9266666666666666,0.8620689655172413,1.0375573578227908,34.4238683127572
7,robot,1,1.0,1.0,1.9862213613329398,4.588477366255145
7,robot,2,0.9333333333333333,0.8620689655172413,2.3162211716212493,23.569958847736626
7,robot,3,0.8666666666666667,0.7586206896551724,2.3857610499996187,41.31687242798353
8,letter,1,0.9866666666666667,0.9836065573770492,0.5815068174494181,13.1275720164609
8,letter,2,1.0,1.0,0.655957875332994,23.055555555555554
8,letter,3,0.9,0.9,0.7709393553188923,34.166666666666664
8,robot,1,0.96,0.983050847457627,2.0938526268962208,27.53086419753086
8,robot,2,0.9,0.8571428571428572,2.1906106465274635,49.70164609053497
8,robot,3,0.8333333333333334,0.7931034482758621,2.3807271284668277,63.43621399176954
9,letter,1,1.0,1.0,0.47525984266676197,40.802469135802475
9,letter,2,0.9866666666666667,0.9666666666666667,0.5793169280001048,52.7880658436214
9,letter,3,0.9533333333333334,0.9333333333333333,0.5843039632653686,57.77777777777778
9,robot,1,0.9933333333333333,0.9836065573770492,2.352488527333432,46.1008230452675
9,robot,2,0.9533333333333334,0.8955223880597014,2.425249993333414,50.52469135802469
9,robot,3,0.9066666666666666,0.7868852459016393,2.4688724892618663,72.54115226337449
10,letter,1,0.9866666666666667,0.9836065573770492,0.5593309275170049,12.098765432098764
10,letter,2,0.9666666666666667,0.9508196721311476,0.917476181756959,35.76131687242798
10,letter,3,0.92,0.8275862068965518,0.9614553945947695,60.04115226337448
10,robot,1,0.9666666666666667,0.9508196721311476,1.5514871601351778,24.80452674897119
10,robot,2,0.94,0.90625,1.9860864000000689,48.05555555555555
10,robot,3,0.84,0.7096774193548386,2.3858776222222957,80.25720164609054
11,letter,1,0.9933333333333333,0.9836065573770492,0.6140983079998599,7.109053497942386
11,letter,2,0.9666666666666667,0.9508196721311476,0.9762333256754279,20.226337448559672
11,letter,3,0.86,0.8928571428571429,1.2366779311109255,41.625514403292186
11,robot,1,0.9866666666666667,0.9836065573770492,2.2195482543620466,13.744855967078188
11,robot,2,0.9266666666666666,0.9666666666666667,2.5695547361700335,33.446502057613166
11,robot,3,0.7666666666666667,0.8928571428571429,2.7141658570247027,61.06995884773662
12,letter,1,0.9933333333333333,0.983050847457627,0.5099887253319806,31.080246913580243
12,letter,2,0.98,0.9666666666666667,0.6855565906028295,58.137860082304535
12,letter,3,0.8933333333333333,0.8709677419354839,0.7777894070411132,78.6111111111111
12,robot,1,0.9733333333333334,0.9491525423728815,1.7887902892610101,50.06172839506173
12,robot,2,0.9733333333333334,0.9354838709677419,1.7304286479992153,68.37448559670783
12,robot,3,0.88,0.7301587301587302,1.989858935569602,83.39506172839505
13,letter,1,0.9733333333333334,0.9642857142857143,0.5561725317567168,37.3559670781893
13,letter,2,0.96,0.896551724137931,0.6589993986666453,59.269547325102884
13,letter,3,0.8666666666666667,0.6538461538461539,0.7162051695945731,89.5679012345679
13,robot,1,0.8466666666666667,0.6865671641791045,1.4786441270270807,57.77777777777778
13,robot,2,0.8133333333333334,0.6410256410256411,1.4763307113333954,77.0679012345679
13,robot,3,0.8466666666666667,0.65625,1.5720260516779168,113.0246913580247
14,letter,1,0.9666666666666667,0.983050847457627,0.8359218636986433,47.078189300411516
14,letter,2,0.8466666666666667,0.90625,1.0000783488721907,56.28600823045267
14,letter,3,0.7866666666666666,0.8235294117647058,1.0665435223076825,75.42181069958848
14,robot,1,0.8666666666666667,0.9491525423728815,1.9808581015037916,41.93415637860082
14,robot,2,0.8133333333333334,0.819672131147541,2.095256370676729,72.48971193415638
14,robot,3,0.5933333333333334,0.5333333333333333,2.280770433333359,98.93004115226337
15,letter,1,0.9533333333333334,0.9473684210526316,0.8744868273972396,41.41975308641975
15,letter,2,0.9533333333333334,0.983050847457627,0.7833291999998993,47.74691358024692
15,letter,3,0.8133333333333334,0.7586206896551724,1.0838538404411542,54.382716049382715
15,robot,1,0.9133333333333333,0.9090909090909091,2.221452607042305,46.718106995884774
15,robot,2,0.8666666666666667,0.8627450980392156,2.359954537956233,45.586419753086425
15,robot,3,0.72,0.8461538461538461,2.500163729310405,51.193415637860085
16,letter,1,0.9333333333333333,0.8852459016393444,0.5496431517006766,37.3559670781893
16,letter,2,0.9266666666666666,0.9333333333333333,0.7942375272727159,56.90329218106996
16,letter,3,0.82,0.7,0.9078029758865436,66.52263374485597
16,robot,1,0.9133333333333333,0.8484848484848485,1.40532288163265,47.38683127572017
16,robot,2,0.8133333333333334,0.7222222222222222,1.9323003119718323,57.52057613168725
16,robot,3,0.72,0.5294117647058824,2.0687707607142656,68.83744855967079
17,letter,1,0.94,0.9354838709677419,0.7385903227587576,36.48148148148149
17,letter,2,0.8933333333333333,0.9180327868852458,0.9428578294964806,41.162551440329224
17,letter,3,0.8133333333333334,0.8135593220338982,0.9615966691730191,66.98559670781893
17,robot,1,0.8,0.8000000000000002,2.3745923121211807,28.611111111111104
17,robot,2,0.6466666666666666,0.7105263157894737,2.6147637134453126,51.75925925925926
17,robot,3,0.6133333333333333,0.6486486486486487,2.530723627118686,76.03909465020577
18,letter,1,0.9733333333333334,0.983050847457627,0.7447973789116062,21.563786008230448
18,letter,2,0.8133333333333334,0.9803921568627451,1.290799655284599,75.37037037037038
18,letter,3,0.62,0.6666666666666667,1.2176801081818496,95.94650205761316
18,robot,1,0.8866666666666667,0.9523809523809523,2.5466237022059137,32.9320987654321
18,robot,2,0.8866666666666667,0.888888888888889,2.5122058235714055,53.40534979423868
18,robot,3,0.7266666666666667,0.7391304347826089,2.5715882785123174,87.56172839506173
19,letter,1,0.98,1.0,0.7619020163269573,2.5308641975308603
19,letter,2,0.8,0.8813559322033898,1.2228314047248978,42.19135802469136
19,letter,3,0.86,0.923076923076923,1.2569264097748696,72.90123456790123
