sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,letter.started,key.started,letter.stopped,key.keys,block_intro_text.stopped,block_intro_key.stopped,key.rt,movie.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,19.12700819998281,19.12700819998281,f,7.541707500000484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
,,,,,,,,,,,,,,,,,,,,,,,,,26.696788100001868,26.696788100001868,space,97.0608249999932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
H,False,1,letter,1,True,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,123.7761768999917,123.7761768999917,space,2.3248260999971535,126.11216879999847,127.20857749998686,127.20857749998686,127.20857749998686,127.20857749998686,127.20857749998686,129.24801129999105,None,129.24801129999105,129.24801129999105,129.24801129999105,129.24801129999105,129.24801129999105,129.24801129999105,129.24801129999105,129.24801129999105,None,None,None,,,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
B,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,129.24801129999105,129.24801129999105,None,,129.24801129999105,130.3120469999849,130.3120469999849,130.3120469999849,130.3120469999849,130.3120469999849,132.33734899997944,None,132.33734899997944,132.33734899997944,132.33734899997944,132.33734899997944,132.33734899997944,132.33734899997944,132.33734899997944,132.33734899997944,None,None,None,129.24801129999105,129.24801129999105,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
M,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,132.33734899997944,132.33734899997944,None,,132.33734899997944,133.40478599999915,133.40478599999915,133.40478599999915,133.40478599999915,133.40478599999915,135.43376279997756,None,135.43376279997756,135.43376279997756,135.43376279997756,135.43376279997756,135.43376279997756,135.43376279997756,135.43376279997756,135.43376279997756,None,None,None,132.33734899997944,132.33734899997944,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
K,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,135.43376279997756,135.43376279997756,None,,135.43376279997756,136.4957089999807,136.4957089999807,136.4957089999807,136.4957089999807,136.4957089999807,138.51918099998147,None,138.51918099998147,138.51918099998147,138.51918099998147,138.51918099998147,138.51918099998147,138.51918099998147,138.51918099998147,138.51918099998147,None,None,None,135.43376279997756,135.43376279997756,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
K,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,138.51918099998147,138.51918099998147,None,,138.51918099998147,139.6034076999931,139.6034076999931,139.6034076999931,139.6034076999931,139.6034076999931,141.63002660000348,n,141.63002660000348,141.63002660000348,141.63002660000348,141.63002660000348,141.63002660000348,141.63002660000348,141.63002660000348,141.63002660000348,None,None,None,138.51918099998147,138.51918099998147,1.1861524999840185,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
K,True,1,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,141.63002660000348,141.63002660000348,None,,141.63002660000348,142.7102326999884,142.7102326999884,142.7102326999884,142.7102326999884,142.7102326999884,144.74252040000283,c,144.74252040000283,144.74252040000283,144.74252040000283,144.74252040000283,144.74252040000283,144.74252040000283,144.74252040000283,144.74252040000283,None,None,None,141.63002660000348,141.63002660000348,1.1430063000007067,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
H,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,144.74252040000283,144.74252040000283,None,,144.74252040000283,145.8023568999779,145.8023568999779,145.8023568999779,145.8023568999779,145.8023568999779,147.82877860000008,n,147.82877860000008,147.82877860000008,147.82877860000008,147.82877860000008,147.82877860000008,147.82877860000008,147.82877860000008,147.82877860000008,None,None,None,144.74252040000283,144.74252040000283,0.8357555999828037,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
N,False,1,letter,1,False,False,robot_stimuli\\filler.mp4,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,147.82877860000008,147.82877860000008,None,,147.82877860000008,148.89784669998335,148.89784669998335,148.89784669998335,148.89784669998335,148.89784669998335,150.92766459999257,None,150.92766459999257,150.92766459999257,150.92766459999257,150.92766459999257,150.92766459999257,150.92766459999257,150.92766459999257,150.92766459999257,None,None,None,147.82877860000008,147.82877860000008,,,,,,,,,,,,,,,,,,,,,0,001,2024-05-23_14h00.42.045,robot_nback_sign,2022.2.5,None,
