sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_robot_intro_text.started,training_robot_intro_key.started,training_robot_intro_key.keys,training_robot_intro_key.rt,cross.started,cross.stopped,training_letter.started,training_robot_key.started,training_robot_question.started,training_robot_keys.started,training_letter.stopped,training_robot_key.keys,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_robot_intro_text.stopped,training_robot_intro_key.stopped,training_robot_key.rt,RSME_key.rt,training_robot_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,movie.started,key.started,key.keys,key.rt,block_intro_text.stopped,block_intro_key.stopped,letter.started,letter.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,49.88174219999996,49.88174219999996,f,385.87856020000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
,,,,,,,,,,,,,,,,,,,,,,,,,435.8212388000002,435.8212388000002,space,45.86080769999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
G,False,1,letter,2,True,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,481.71678740000016,481.71678740000016,space,3.684110699999792,485.43297440000015,486.9155694000001,486.9155694000001,486.9155694000001,486.9155694000001,486.9155694000001,489.2242847000002,None,489.2242847000002,489.2242847000002,489.2242847000002,489.2242847000002,489.2242847000002,489.2242847000002,489.2242847000002,489.2242847000002,None,None,None,,,,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
G,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,1,1,1,,,,,,,,,,,,,489.2242847000002,489.2242847000002,None,,489.2242847000002,,490.2964393000002,490.2964393000002,490.2964393000002,490.2964393000002,492.3324523000001,c,492.3324523000001,492.3324523000001,492.3324523000001,492.3324523000001,492.3324523000001,492.3324523000001,492.3324523000001,492.3324523000001,None,None,None,489.2242847000002,489.2242847000002,0.8888924000000316,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
T,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,2,2,2,,,,,,,,,,,,,492.3324523000001,492.3324523000001,None,,492.3324523000001,493.40306280000004,493.40306280000004,493.40306280000004,493.40306280000004,493.40306280000004,495.6413057,n,495.6413057,495.6413057,495.6413057,495.6413057,495.6413057,495.6413057,495.6413057,495.6413057,None,None,None,492.3324523000001,492.3324523000001,1.295361599999751,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
S,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,3,3,3,,,,,,,,,,,,,495.6413057,495.6413057,None,,495.6413057,496.71774289999985,496.71774289999985,496.71774289999985,496.71774289999985,496.71774289999985,498.94522099999995,n,498.94522099999995,498.94522099999995,498.94522099999995,498.94522099999995,498.94522099999995,498.94522099999995,498.94522099999995,498.94522099999995,None,None,None,495.6413057,495.6413057,0.7227549999995517,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
C,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,4,4,4,,,,,,,,,,,,,498.94522099999995,498.94522099999995,None,,498.94522099999995,500.02185710000003,500.02185710000003,500.02185710000003,500.02185710000003,500.02185710000003,502.0589043,n,502.0589043,502.0589043,502.0589043,502.0589043,502.0589043,502.0589043,502.0589043,502.0589043,None,None,None,498.94522099999995,498.94522099999995,1.2755987000002733,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
C,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,5,5,5,,,,,,,,,,,,,502.0589043,502.0589043,None,,502.0589043,503.12960209999983,503.12960209999983,503.12960209999983,503.12960209999983,503.12960209999983,505.1659211000001,c,505.1659211000001,505.1659211000001,505.1659211000001,505.1659211000001,505.1659211000001,505.1659211000001,505.1659211000001,505.1659211000001,None,None,None,502.0589043,502.0589043,0.5441978999999719,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
C,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,6,6,6,,,,,,,,,,,,,505.1659211000001,505.1659211000001,None,,505.1659211000001,506.22984110000016,506.22984110000016,506.22984110000016,506.22984110000016,506.22984110000016,508.25667090000024,c,508.25667090000024,508.25667090000024,508.25667090000024,508.25667090000024,508.25667090000024,508.25667090000024,508.25667090000024,508.25667090000024,None,None,None,505.1659211000001,505.1659211000001,0.5635477999996965,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
N,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,508.25667090000024,508.25667090000024,None,,508.25667090000024,509.337082,509.337082,509.337082,509.337082,509.337082,511.56930330000023,n,511.56930330000023,511.56930330000023,511.56930330000023,511.56930330000023,511.56930330000023,511.56930330000023,511.56930330000023,511.56930330000023,None,None,None,508.25667090000024,508.25667090000024,0.4727440999997725,,,,,,,,,,,,,,,,,,,,1,001,2024-05-24_13h55.46.357,robot_nback_sign,2022.2.5,60.01514782331876,
