sequence,is_target,condition,stimuli,block,is_block_beginning,is_block_ending,fname,subject
G,False,1,letter,2,True,False,robot_stimuli\\filler.mp4,1
G,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,1
T,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,1
S,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,1
C,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,1
C,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,1
C,True,1,letter,2,False,False,robot_stimuli\\filler.mp4,1
N,False,1,letter,2,False,False,robot_stimuli\\filler.mp4,1
M,False,1,letter,2,False,True,robot_stimuli\\filler.mp4,1
Z,False,2,letter,2,True,False,robot_stimuli\\filler.mp4,1
H,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,1
V,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,1
H,True,2,letter,2,False,False,robot_stimuli\\filler.mp4,1
Z,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,1
H,True,2,letter,2,False,False,robot_stimuli\\filler.mp4,1
G,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,1
Q,False,2,letter,2,False,False,robot_stimuli\\filler.mp4,1
G,True,2,letter,2,False,True,robot_stimuli\\filler.mp4,1
M,False,3,letter,2,True,False,robot_stimuli\\filler.mp4,1
S,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,1
K,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,1
M,True,3,letter,2,False,False,robot_stimuli\\filler.mp4,1
D,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,1
K,True,3,letter,2,False,False,robot_stimuli\\filler.mp4,1
R,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,1
F,False,3,letter,2,False,False,robot_stimuli\\filler.mp4,1
K,True,3,letter,2,False,True,robot_stimuli\\filler.mp4,1
R_Arm_Y_Back,False,1,robot,1,True,False,robot_stimuli\R_Arm_Y_Back.mp4,1
L_Torso_Z_For,False,1,robot,1,False,False,robot_stimuli\L_Torso_Z_For.mp4,1
R_Base_X_For,False,1,robot,1,False,False,robot_stimuli\R_Base_X_For.mp4,1
R_Base_X_For,True,1,robot,1,False,False,robot_stimuli\R_Base_X_For.mp4,1
R_Base_X_For,True,1,robot,1,False,False,robot_stimuli\R_Base_X_For.mp4,1
R_Torso_Z_Back,False,1,robot,1,False,False,robot_stimuli\R_Torso_Z_Back.mp4,1
R_Torso_Z_Back,True,1,robot,1,False,False,robot_stimuli\R_Torso_Z_Back.mp4,1
R_Torso_X_Back,False,1,robot,1,False,False,robot_stimuli\R_Torso_X_Back.mp4,1
L_Head_Y_For,False,1,robot,1,False,True,robot_stimuli\L_Head_Y_For.mp4,1
R_Base_Z_For,False,2,robot,1,True,False,robot_stimuli\R_Base_Z_For.mp4,1
L_Torso_Y_For,False,2,robot,1,False,False,robot_stimuli\L_Torso_Y_For.mp4,1
L_Head_Y_Back,False,2,robot,1,False,False,robot_stimuli\L_Head_Y_Back.mp4,1
L_Torso_Y_For,True,2,robot,1,False,False,robot_stimuli\L_Torso_Y_For.mp4,1
L_Head_Y_Back,True,2,robot,1,False,False,robot_stimuli\L_Head_Y_Back.mp4,1
R_Head_Y_For,False,2,robot,1,False,False,robot_stimuli\R_Head_Y_For.mp4,1
L_Head_Y_Back,True,2,robot,1,False,False,robot_stimuli\L_Head_Y_Back.mp4,1
R_Base_Z_For,False,2,robot,1,False,False,robot_stimuli\R_Base_Z_For.mp4,1
R_Base_X_Back,False,2,robot,1,False,True,robot_stimuli\R_Base_X_Back.mp4,1
R_Base_Y_For,False,3,robot,1,True,False,robot_stimuli\R_Base_Y_For.mp4,1
L_Torso_Z_Back,False,3,robot,1,False,False,robot_stimuli\L_Torso_Z_Back.mp4,1
R_Torso_Z_Back,False,3,robot,1,False,False,robot_stimuli\R_Torso_Z_Back.mp4,1
R_Base_Y_For,True,3,robot,1,False,False,robot_stimuli\R_Base_Y_For.mp4,1
R_Arm_Z_Back,False,3,robot,1,False,False,robot_stimuli\R_Arm_Z_Back.mp4,1
L_Base_Y_Back,False,3,robot,1,False,False,robot_stimuli\L_Base_Y_Back.mp4,1
L_Arm_Y_For,False,3,robot,1,False,False,robot_stimuli\L_Arm_Y_For.mp4,1
R_Arm_Z_Back,True,3,robot,1,False,False,robot_stimuli\R_Arm_Z_Back.mp4,1
L_Base_Y_Back,True,3,robot,1,False,True,robot_stimuli\L_Base_Y_Back.mp4,1
