,sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_letter.started,presentation_letter.stopped,recall_letter.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_movie.started,recall_movie.started,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 94
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.008233199999975,25.008233199999975,f,105.0746868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,2024-08-29_11h17.55.677,robot_sternberg_sign,2022.2.5,59.976597131794165,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.1383701,130.1383701,space,27.225239500000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,2024-08-29_11h17.55.677,robot_sternberg_sign,2022.2.5,59.976597131794165,
2,"['H', 'J', 'K']",True,H,3.0,letter,1.0,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,157.4022173,157.4022173,space,8.039778400000046,173.14287219999997,174.24243629999998,171.13106409999995,173.14287219999997,174.24243629999998,174.24243629999998,174.24243629999998,174.24243629999998,c,0.4811983000000168,174.95715099999998,174.95715099999998,174.95715099999998,174.95715099999998,174.95715099999998,174.95715099999998,174.95715099999998,174.95715099999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,2024-08-29_11h17.55.677,robot_sternberg_sign,2022.2.5,59.976597131794165,
3,"['Z', 'M', 'J']",False,N,3.0,letter,1.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,174.95715099999998,174.95715099999998,,,182.6570534,183.7329838,180.6374339,182.6570534,183.7329838,183.7329838,183.7329838,183.7329838,n,0.3498357999999939,184.1625804,184.1625804,184.1625804,184.1625804,184.1625804,184.1625804,184.1625804,184.1625804,,,,174.95715099999998,174.95715099999998,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,2024-08-29_11h17.55.677,robot_sternberg_sign,2022.2.5,59.976597131794165,
4,"['S', 'N', 'T']",True,N,3.0,letter,1.0,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,184.1625804,184.1625804,,,191.668488,185.2371533,189.6424111,191.668488,192.7515181,192.7515181,192.7515181,192.7515181,n,0.4605975000000626,193.4433291,204.8404159,193.4433291,204.8404159,193.4433291,204.8404159,193.4433291,204.8404159,25.524691358024683,8.761891300000002,space,184.1625804,184.1625804,11.335527000000011,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,2024-08-29_11h17.55.677,robot_sternberg_sign,2022.2.5,59.976597131794165,
5,"['D', 'Q', 'B', 'H']",True,Q,4.0,letter,1.0,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,204.8404159,204.8404159,space,3.362146999999993,218.2372991,209.3060455,216.0248833,218.2372991,219.3155169,219.3155169,219.3155169,219.3155169,c,0.7033468999999855,220.148569,220.148569,220.148569,220.148569,220.148569,220.148569,220.148569,220.148569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,2024-08-29_11h17.55.677,robot_sternberg_sign,2022.2.5,59.976597131794165,
6,"['T', 'H', 'B', 'W']",True,H,4.0,letter,1.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,220.148569,220.148569,,,229.9526826,221.2207261,227.7377958,229.9526826,231.0312262,231.0312262,231.0312262,231.0312262,c,0.4764033000000154,231.6626405,231.6626405,231.6626405,231.6626405,231.6626405,231.6626405,231.6626405,231.6626405,,,,220.148569,220.148569,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,2024-08-29_11h17.55.677,robot_sternberg_sign,2022.2.5,59.976597131794165,
7,"['H', 'G', 'P', 'M']",False,N,4.0,letter,1.0,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,231.6626405,231.6626405,,,241.4643583,242.5381924,239.4494166,241.4643583,242.5381924,242.5381924,242.5381924,242.5381924,n,0.6246552000000065,243.3909805,249.1504499,243.3909805,249.1504499,243.3909805,249.1504499,243.3909805,249.1504499,26.91358024691357,3.0344491000000176,space,231.6626405,231.6626405,5.707091300000002,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,2024-08-29_11h17.55.677,robot_sternberg_sign,2022.2.5,59.976597131794165,
8,"['S', 'V', 'W', 'Z', 'P']",True,V,5.0,letter,1.0,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,249.1504499,249.1504499,space,1.6036144000000263,262.4634225,263.5361802,260.4416335,262.4634225,263.5361802,263.5361802,263.5361802,263.5361802,c,0.6821683999999948,264.363024,264.363024,264.363024,264.363024,264.363024,264.363024,264.363024,264.363024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,2024-08-29_11h17.55.677,robot_sternberg_sign,2022.2.5,59.976597131794165,
9,"['S', 'M', 'J', 'X', 'L']",False,G,5.0,letter,1.0,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,4.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,,,,,,,,,,,,,,,,,,,,,264.363024,264.363024,,,276.43827220000003,277.5049468,274.219074,276.43827220000003,277.5049468,277.5049468,277.5049468,277.5049468,n,0.5932678000000635,278.3268049,278.3268049,278.3268049,278.3268049,278.3268049,278.3268049,278.3268049,278.3268049,,,,264.363024,264.363024,,,,,,,,,,,,,,,,,,,,,,,,,23.0,1.0,2024-08-29_11h17.55.677,robot_sternberg_sign,2022.2.5,59.976597131794165,
