sequence,is_true,target,condition,stimuli,block,is_block_beginning,is_block_ending,sequence_fnames,target_fname,subject,retraining.thisRepN,retraining.thisTrialN,retraining.thisN,retraining.thisIndex,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,training_sequence_loop.thisRepN,training_sequence_loop.thisTrialN,training_sequence_loop.thisN,training_sequence_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,sequence_loop.thisRepN,sequence_loop.thisTrialN,sequence_loop.thisN,sequence_loop.thisIndex,langage_text.started,langage_key.started,langage_key.keys,langage_key.rt,intro_text.started,intro_key.started,intro_key.keys,intro_key.rt,training_intro_text.started,training_intro_key.started,training_intro_key.keys,training_intro_key.rt,polygon.started,polygon.stopped,training_presentation_letter.started,training_presentation_letter.stopped,training_recall_letter.started,training_recall_key.started,training_recall_question.started,training_recall_answer.started,training_recall_key.keys,training_recall_key.rt,RSME_labels.started,RSME_labels.stopped,RSME_ticks.started,RSME_ticks.stopped,RSME_text.started,RSME_text.stopped,RSME_key.started,RSME_key.stopped,RSME_ticks.response,RSME_ticks.rt,RSME_key.keys,training_intro_text.stopped,training_intro_key.stopped,RSME_key.rt,training_presentation_movie.started,training_recall_movie.started,experiment_beginning_text.started,experiment_beginning_keys.started,experiment_beginning_key.started,experiment_beginning_key.keys,experiment_beginning_key.rt,block_intro_text.started,block_intro_key.started,block_intro_key.keys,block_intro_key.rt,presentation_movie.started,recall_movie.started,recall_key.started,recall_question.started,recall_answer.started,recall_key.keys,recall_key.rt,block_intro_text.stopped,block_intro_key.stopped,presentation_letter.started,presentation_letter.stopped,recall_letter.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.704109499998594,13.704109499998594,f,1.7543754000016634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-06-25_14h24.37.016,robot_sternberg_sign,2022.2.5,59.955560937933306,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.523056899999574,15.523056899999574,space,38.43019190000268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-06-25_14h24.37.016,robot_sternberg_sign,2022.2.5,59.955560937933306,
"['T', 'D']",True,T,2,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,53.98557149999942,53.98557149999942,space,26.719967000000906,86.21048659999906,87.30910899999981,84.1982911999985,86.21048659999906,87.30910899999981,87.30910899999981,87.30910899999981,87.30910899999981,c,2.4519754000011744,90.04738240000006,90.04738240000006,90.04738240000006,90.04738240000006,90.04738240000006,90.04738240000006,90.04738240000006,90.04738240000006,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-06-25_14h24.37.016,robot_sternberg_sign,2022.2.5,59.955560937933306,
"['V', 'L']",True,L,2,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,90.04738240000006,90.04738240000006,None,,95.645896,96.72007909999957,93.43112089999886,95.645896,96.72007909999957,96.72007909999957,96.72007909999957,96.72007909999957,c,0.8811325000006036,97.7447145999995,97.7447145999995,97.7447145999995,97.7447145999995,97.7447145999995,97.7447145999995,97.7447145999995,97.7447145999995,None,None,None,90.04738240000006,90.04738240000006,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-06-25_14h24.37.016,robot_sternberg_sign,2022.2.5,59.955560937933306,
"['B', 'P']",False,D,2,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,97.7447145999995,97.7447145999995,None,,103.14823189999879,104.2184373,101.13273509999999,103.14823189999879,104.2184373,104.2184373,104.2184373,104.2184373,n,0.8625208000012208,105.29904989999886,111.36810319999859,105.29904989999886,111.36810319999859,105.29904989999886,111.36810319999859,105.29904989999886,111.36810319999859,0.0,4.071904999998878,space,97.7447145999995,97.7447145999995,6.0061803000007785,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-06-25_14h24.37.016,robot_sternberg_sign,2022.2.5,59.955560937933306,
"['W', 'S', 'J', 'X']",False,R,4,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,111.36810319999859,111.36810319999859,space,4.041369300000952,125.23661759999959,126.30634789999931,123.22157659999903,125.23661759999959,126.30634789999931,126.30634789999931,126.30634789999931,126.30634789999931,n,0.5989368000009563,127.13496549999945,127.13496549999945,127.13496549999945,127.13496549999945,127.13496549999945,127.13496549999945,127.13496549999945,127.13496549999945,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-06-25_14h24.37.016,robot_sternberg_sign,2022.2.5,59.955560937933306,
"['V', 'J', 'K', 'F']",True,J,4,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,127.13496549999945,127.13496549999945,None,,136.9297190999987,138.00131899999906,134.91736820000006,136.9297190999987,138.00131899999906,138.00131899999906,138.00131899999906,138.00131899999906,c,0.8873134000004939,139.02929429999858,139.02929429999858,139.02929429999858,139.02929429999858,139.02929429999858,139.02929429999858,139.02929429999858,139.02929429999858,None,None,None,127.13496549999945,127.13496549999945,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-06-25_14h24.37.016,robot_sternberg_sign,2022.2.5,59.955560937933306,
"['X', 'T', 'H', 'F']",True,H,4,letter,2,False,True,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,139.02929429999858,139.02929429999858,None,,148.82073879999916,149.88486569999986,146.8025404,148.82073879999916,149.88486569999986,149.88486569999986,149.88486569999986,149.88486569999986,c,1.7647789000002376,151.75001619999966,155.34910379999928,151.75001619999966,155.34910379999928,151.75001619999966,155.34910379999928,151.75001619999966,155.34910379999928,0,2.7136258000009548,space,139.02929429999858,139.02929429999858,3.546905600001992,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-06-25_14h24.37.016,robot_sternberg_sign,2022.2.5,59.955560937933306,
"['G', 'M', 'P', 'B', 'K', 'Q']",False,C,6,letter,2,True,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,155.34910379999928,155.34910379999928,space,1.1397958000015933,171.11500729999898,172.18833180000001,169.09860499999922,171.11500729999898,172.18833180000001,172.18833180000001,172.18833180000001,172.18833180000001,n,1.1568914000017685,173.41573769999923,173.41573769999923,173.41573769999923,173.41573769999923,173.41573769999923,173.41573769999923,173.41573769999923,173.41573769999923,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-06-25_14h24.37.016,robot_sternberg_sign,2022.2.5,59.955560937933306,
"['Q', 'L', 'B', 'F', 'P', 'W']",True,W,6,letter,2,False,False,"['robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4', 'robot_stimuli\\\\filler.mp4']",robot_stimuli\\filler.mp4,3,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,173.41573769999923,173.41573769999923,None,,187.6219216999998,188.6839629999995,185.40982479999911,187.6219216999998,188.6839629999995,188.6839629999995,188.6839629999995,188.6839629999995,c,1.7009956000019884,190.5109212999996,190.5109212999996,190.5109212999996,190.5109212999996,190.5109212999996,190.5109212999996,190.5109212999996,190.5109212999996,None,None,None,173.41573769999923,173.41573769999923,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2024-06-25_14h24.37.016,robot_sternberg_sign,2022.2.5,59.955560937933306,
